,Activation,N,Op1,Op2,Op3,Op4,Op5,Op6,test-acc,FLOPS
21124773,Mish,1,3,1,4,1,0,1,58.37,0.154794
38268070,Hardswish,1,2,3,4,3,1,3,62.24,0.276298
41892489,Hardswish,5,3,4,0,4,3,2,63.84,0.804682
29797270,Mish,5,3,0,1,2,2,3,56.78,0.342954
37890070,Hardswish,1,1,4,4,2,0,1,58.39,0.929418
4662999,Mish,5,0,4,2,4,4,1,85.19,10.903882
46094962,Mish,5,0,1,3,0,2,1,61.03,0.756906
8366687,Hardswish,5,3,3,1,0,2,2,84.41,86.42625
38480870,ReLU,1,3,0,2,4,4,3,55.05,0.26401
13000674,Hardswish,3,1,0,3,0,4,4,83.64,10.142346
2093256,Hardswish,1,0,3,1,3,4,1,52.04,0.041898
2091456,Hardswish,1,3,2,3,1,0,1,55.83,0.069546
51604762,ReLU,3,3,2,1,1,4,2,48.82,0.210858
43438161,ReLU,5,0,0,2,3,0,4,59.19,0.743242
3398456,Hardswish,1,3,2,1,4,4,0,57.37,0.066474
402508,Hardswish,3,2,3,4,3,4,1,64.74,2.19153
7109741,Mish,1,4,2,2,3,0,0,74.39,1.503402
7054941,Mish,1,4,2,1,2,4,0,75.97,1.45425
18254373,Mish,1,1,3,4,1,1,2,74.73,3.91233
21922773,ReLU,3,3,1,2,1,1,4,66.09,1.96161
201708,Hardswish,3,2,1,0,1,0,4,77.94,1.896618
48149362,ReLU,3,3,2,3,2,0,2,64.19,1.197898
3841056,Mish,1,4,3,0,2,4,1,55.49,0.066474
9884085,ReLU,5,3,0,3,3,4,4,79.9,19.57953
25750990,Mish,1,2,0,1,4,1,3,87.63,15.64737
41669365,Hardswish,3,2,1,1,1,1,1,10.0,7.254666
33871870,Mish,1,1,0,1,0,4,3,70.72,0.56353
46971362,Hardswish,5,1,1,1,3,1,3,10.0,0.265386
23769373,Hardswish,3,1,0,2,1,1,0,68.5,1.814154
21387173,Mish,1,3,0,4,0,2,4,68.43,0.265386
43778361,Hardswish,5,0,2,1,3,1,0,61.16,0.743242
52667223,Hardswish,3,2,2,0,3,0,3,86.0,13.853002
5008103,ReLU,5,0,4,0,0,4,3,68.15,3.039562
5302926,ReLU,5,4,1,4,4,4,0,48.42,2.056522
31292870,ReLU,3,4,2,4,1,0,1,62.0,1.841482
926508,Hardswish,3,1,3,4,4,0,4,70.75,0.71697
46614562,ReLU,5,4,0,2,2,1,2,10.0,1.801386
44133962,Mish,3,1,3,4,3,1,4,58.67,0.216234
12483922,Mish,3,2,0,3,3,4,3,88.42,36.094602
38364670,Hardswish,1,2,4,0,1,3,2,61.61,0.362314
39157870,ReLU,1,1,4,3,3,1,2,56.43,0.26401
10417186,Mish,1,0,1,0,4,3,0,79.48,2.25313
10283186,Mish,1,3,2,1,4,4,2,82.85,5.792074
22203373,ReLU,3,3,1,3,0,3,0,62.39,0.929418
23873973,Hardswish,3,2,3,0,2,4,0,68.55,3.288714
33415470,Mish,1,0,1,2,0,3,1,76.88,1.005898
50950562,Mish,3,0,3,1,0,4,2,54.49,0.127914
47436762,Mish,5,4,1,3,4,1,2,70.63,0.756906
31759470,Mish,3,0,2,0,2,2,2,72.6,5.822794
34989815,ReLU,5,1,4,2,0,4,2,10.0,19.64097
3314456,Mish,1,3,3,3,3,2,4,59.61,0.07569
52830179,ReLU,3,2,0,1,2,0,0,81.67,12.673354
826708,Mish,3,1,1,4,1,4,1,53.17,0.569514
46254962,ReLU,5,1,0,3,1,3,2,69.27,0.818346
13163426,ReLU,3,3,3,1,2,2,1,83.2,54.96897
5085914,ReLU,5,0,4,2,2,2,2,76.22,37.445962
29572470,Hardswish,5,2,4,0,3,1,1,53.32,0.189354
38136470,ReLU,1,2,1,1,0,3,1,54.54,0.251722
10196386,ReLU,1,3,3,0,3,1,3,80.37,2.842954
117999,Hardswish,3,1,2,1,2,1,1,10.0,3.223722
38313670,Hardswish,1,2,3,3,1,2,1,63.52,0.374602
44827362,ReLU,3,2,1,0,2,1,2,66.4,1.137834
23099773,Hardswish,3,4,4,4,1,2,3,59.26,1.96161
37876470,Hardswish,1,1,1,2,4,3,0,60.86,0.97857
323908,Hardswish,3,3,2,4,2,2,0,36.81,4.698282
8402784,ReLU,5,3,1,4,4,4,0,80.09,11.71521
17922973,Mish,1,1,1,4,4,4,0,69.32,1.94625
33156070,Hardswish,1,1,0,3,4,3,1,72.58,0.612682
509508,Hardswish,3,0,0,3,3,1,4,74.39,0.864426
29981270,ReLU,3,2,0,1,2,0,3,75.44,3.316042
14203809,Mish,5,3,3,0,2,1,2,81.96,5.484714
36525670,ReLU,1,1,1,1,0,1,2,10.0,0.929418
5565194,Mish,5,2,0,3,4,4,1,77.84,11.886922
30827670,Hardswish,3,4,1,1,4,2,2,64.34,3.168586
44993362,Mish,3,0,3,3,1,2,3,70.55,0.584874
51952986,Hardswish,3,2,3,0,3,2,0,78.18,13.853002
31222470,Hardswish,3,3,3,2,1,4,2,74.82,3.463498
44615762,Hardswish,3,4,1,2,0,4,4,67.33,0.474282
9527907,ReLU,5,4,1,3,4,2,1,81.89,47.10465
42839361,ReLU,5,3,3,1,2,2,2,58.14,1.910602
22133773,ReLU,3,1,1,2,4,4,3,67.28,1.96161
52187814,Mish,3,1,1,3,1,3,3,76.93,3.825994
37555670,ReLU,1,1,2,0,1,4,0,66.31,0.929418
42722361,ReLU,5,0,2,0,4,1,4,54.16,0.681802
42906561,Mish,5,3,3,1,2,2,2,62.96,1.910602
46940562,Mish,5,3,3,4,4,4,2,66.81,0.818346
23182973,Hardswish,3,2,3,3,4,1,4,66.91,2.109066
50927962,ReLU,3,4,2,1,0,1,4,51.85,0.118698
4608164,Mish,5,1,1,0,2,3,0,71.13,11.886922
22359173,Hardswish,3,1,4,4,2,4,1,55.0,1.814154
1500656,ReLU,3,3,2,4,4,3,1,67.53,2.19153
38678270,ReLU,1,2,1,1,2,4,1,60.41,0.350026
42655361,Hardswish,5,4,2,4,1,1,2,59.88,1.234762
29011270,Mish,5,2,3,4,1,4,0,54.1,0.189354
51920962,Mish,3,3,4,4,1,2,2,83.98,13.263178
3128056,Mish,1,4,1,3,0,4,3,53.28,0.041898
46876162,Mish,5,3,3,2,0,2,0,71.44,1.371306
45593762,Mish,3,1,1,2,0,0,2,70.05,0.806058
27797649,ReLU,5,4,0,3,4,0,4,65.21,0.760138
20292573,Hardswish,1,4,1,0,1,1,0,57.25,0.142506
15843190,Hardswish,5,3,2,2,1,1,4,10.0,5.238954
21694773,Mish,1,4,1,3,2,1,3,66.01,0.277674
6068941,ReLU,1,3,2,0,0,4,2,78.16,1.503402
41962725,Hardswish,5,0,1,0,2,3,4,61.4,0.743242
50660162,Mish,3,4,4,2,1,1,2,56.15,0.201642
4961182,ReLU,5,2,0,4,0,0,2,86.16,19.751242
53638752,Mish,3,0,0,4,3,4,4,66.33,2.646346
37215670,ReLU,1,1,3,4,3,0,1,59.54,0.585354
50655562,ReLU,3,1,0,2,1,0,3,56.08,0.127914
47381362,ReLU,5,0,3,2,1,2,2,70.93,1.862826
29654070,Hardswish,5,1,3,3,1,1,4,57.66,0.066474
47653162,ReLU,5,0,0,1,0,3,4,61.35,0.203946
35515707,Hardswish,5,2,2,4,4,4,1,68.54,19.64097
41492565,Hardswish,3,2,3,0,3,3,0,83.29,9.024138
41056232,Mish,3,1,3,1,4,3,2,79.79,8.434314
23943432,Mish,1,1,0,4,2,2,4,71.55,21.938826
32580070,Hardswish,1,3,3,1,0,2,0,29.23,1.05505
21862173,Mish,1,3,0,1,2,2,1,69.66,0.375978
2622056,ReLU,1,1,4,0,1,1,3,54.17,0.038826
40651904,Mish,3,3,0,1,2,2,2,85.17,18.461322
32967670,Mish,1,0,2,3,4,3,1,71.73,1.05505
45717162,Mish,3,2,2,1,2,2,1,10.0,1.46961
24513141,Mish,1,2,1,2,3,0,2,88.92,29.803146
10356786,Mish,1,3,2,0,2,3,4,83.27,5.988682
25255767,Hardswish,1,4,0,4,4,3,2,87.55,15.64737
11051586,ReLU,1,3,0,1,4,4,3,81.64,2.449738
26415849,ReLU,5,2,0,2,4,0,3,74.72,5.183818
25236967,Mish,1,2,1,1,1,1,4,10.0,14.860938
36304270,Hardswish,1,4,4,3,4,0,1,57.99,0.536202
42073125,Mish,5,2,0,0,2,1,4,57.32,1.234762
7462941,ReLU,1,4,1,0,2,4,4,71.95,1.011882
41042032,Hardswish,3,1,2,4,2,2,3,82.31,18.461322
6743341,Hardswish,1,3,1,2,4,3,2,66.4,1.552554
30973870,Hardswish,3,0,1,4,3,1,2,64.51,1.988938
12216657,Mish,3,4,3,3,3,4,3,83.89,17.220234
49214362,Mish,3,4,4,1,3,1,4,48.39,0.165706
26505449,ReLU,5,1,3,3,4,0,3,69.37,1.251658
49438762,ReLU,3,0,2,0,0,3,3,56.01,0.534346
6115141,Mish,1,0,0,3,4,2,1,62.92,1.061034
12324995,ReLU,3,4,3,3,1,2,1,86.45,33.735306
45010762,ReLU,3,2,3,3,1,0,2,70.16,0.879786
31726270,Hardswish,3,1,1,1,1,0,2,10.0,1.841482
75799,Hardswish,3,0,2,1,2,1,3,79.49,3.371178
44126362,ReLU,3,4,1,3,3,4,1,62.15,0.216234
24056714,ReLU,1,0,2,0,0,4,2,87.32,21.938826
43031761,ReLU,5,4,4,4,2,3,2,53.63,1.296202
39769270,Mish,1,1,4,2,1,3,3,59.25,0.26401
21813773,Mish,1,0,1,1,3,3,1,64.62,0.167082
41079632,Hardswish,3,0,2,3,0,3,4,75.27,8.434314
6143141,Hardswish,1,4,2,4,0,4,4,73.67,1.011882
32203270,ReLU,1,0,0,4,3,3,4,65.81,0.612682
40644704,Mish,3,1,4,3,0,4,4,72.46,2.536074
34371318,ReLU,5,0,2,3,4,3,2,79.99,21.60705
14050747,Hardswish,5,0,2,1,4,3,3,81.77,3.272874
34590534,ReLU,5,0,4,2,4,4,4,66.39,10.79361
52985528,Mish,3,1,0,4,3,1,2,83.42,7.954762
19533773,ReLU,1,2,2,3,3,0,2,83.56,7.647882
20698973,Mish,1,0,3,0,1,1,4,60.8,0.154794
34134358,Mish,5,1,4,0,0,1,3,76.16,2.92929
12835314,Mish,3,2,4,1,0,1,4,81.75,29.016714
48530162,Mish,3,0,3,0,1,2,2,65.55,0.829258
38728670,Hardswish,1,4,1,2,1,1,1,62.59,0.239434
24609360,Hardswish,1,2,3,1,3,1,0,32.82,16.433802
32762870,Hardswish,1,3,0,3,4,0,4,72.97,0.612682
29480470,Mish,5,2,2,2,2,3,0,56.3,0.604074
22530173,Hardswish,3,4,2,1,0,3,4,59.19,1.96161
45850562,Hardswish,3,4,1,0,3,0,4,60.24,0.17937
2808656,ReLU,1,1,1,1,4,0,1,10.0,0.035754
5847242,ReLU,5,2,1,4,3,1,3,82.89,12.869962
27803649,Mish,5,0,2,3,3,0,3,81.92,3.463498
3891256,Mish,1,4,4,2,3,0,0,58.01,0.066474
10385786,ReLU,1,3,4,1,2,3,0,82.46,4.21921
47913762,Hardswish,3,0,4,1,4,2,0,57.24,0.460618
43104561,Hardswish,5,3,0,3,0,2,1,62.93,0.804682
43260761,Hardswish,5,0,3,4,2,1,2,63.52,1.296202
15408363,ReLU,5,2,3,3,1,3,3,75.39,3.764394
22804773,Hardswish,3,0,1,4,0,3,0,58.01,0.634506
23986194,ReLU,1,1,4,0,2,0,4,82.83,14.860938
32472270,ReLU,1,2,2,0,0,1,4,74.21,1.399114
38816270,Mish,1,3,2,1,0,1,4,60.11,0.251722
27210049,ReLU,5,4,2,1,1,1,0,72.8,2.726218
49551962,Hardswish,3,2,2,0,1,3,2,65.55,1.161034
33279870,ReLU,1,1,2,1,2,3,0,74.75,1.448266
47130962,Mish,5,3,0,2,0,4,4,63.95,0.756906
53084732,Mish,3,4,4,3,4,3,4,71.35,3.23617
35191065,Hardswish,5,2,4,3,1,1,4,75.41,11.77665
28408249,ReLU,5,4,4,3,2,1,4,52.41,0.189354
25097603,ReLU,1,2,3,3,2,3,3,86.41,25.084554
43381361,ReLU,5,3,3,3,4,3,0,63.35,0.374602
33702070,ReLU,1,2,3,2,1,4,3,74.04,1.497418
31884670,Hardswish,3,4,2,1,4,2,2,76.4,4.49569
45098762,ReLU,3,3,1,4,2,0,2,67.57,0.842922
28780649,ReLU,5,4,1,1,4,4,2,44.47,0.173994
27506049,Mish,5,4,2,4,2,3,3,77.4,5.429578
8618278,Hardswish,5,2,3,2,2,3,3,89.57,125.74785
